[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(142.5), np.float64(135.38), np.float64(128.61), np.float64(122.18), np.float64(116.07), np.float64(110.26), np.float64(104.75), np.float64(99.51), np.float64(94.54)]
[150, np.float64(135.0), np.float64(121.5), np.float64(109.35), np.float64(98.42), np.float64(88.57), np.float64(79.72), np.float64(71.74), np.float64(64.57), np.float64(58.11)]
[150, np.float64(127.5), np.float64(108.38), np.float64(92.12), np.float64(78.3), np.float64(66.56), np.float64(56.57), np.float64(48.09), np.float64(40.87), 37.5]
[150, np.float64(120.0), np.float64(96.0), np.float64(76.8), np.float64(61.44), np.float64(49.15), np.float64(39.32), 37.5, 37.5, 37.5]
[150, np.float64(112.5), np.float64(84.38), np.float64(63.28), np.float64(47.46), 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(105.0), np.float64(73.5), np.float64(51.45), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(97.5), np.float64(63.38), np.float64(41.19), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(90.0), np.float64(54.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(142.5), np.float64(135.38), np.float64(128.61), np.float64(122.18), np.float64(116.07), np.float64(110.26), np.float64(104.75), np.float64(99.51), np.float64(94.54)]
[150, np.float64(135.0), np.float64(121.5), np.float64(109.35), np.float64(98.42), np.float64(88.57), np.float64(79.72), np.float64(71.74), np.float64(64.57), np.float64(58.11)]
[150, np.float64(127.5), np.float64(108.38), np.float64(92.12), np.float64(78.3), np.float64(66.56), np.float64(56.57), np.float64(48.09), np.float64(40.87), 37.5]
[150, np.float64(120.0), np.float64(96.0), np.float64(76.8), np.float64(61.44), np.float64(49.15), np.float64(39.32), 37.5, 37.5, 37.5]
[150, np.float64(112.5), np.float64(84.38), np.float64(63.28), np.float64(47.46), 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(105.0), np.float64(73.5), np.float64(51.45), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(97.5), np.float64(63.38), np.float64(41.19), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(90.0), np.float64(54.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(142.5), np.float64(135.38), np.float64(128.61), np.float64(122.18), np.float64(116.07), np.float64(110.26), np.float64(104.75), np.float64(99.51), np.float64(94.54)]
[150, np.float64(135.0), np.float64(121.5), np.float64(109.35), np.float64(98.42), np.float64(88.57), np.float64(79.72), np.float64(71.74), np.float64(64.57), np.float64(58.11)]
[150, np.float64(127.5), np.float64(108.38), np.float64(92.12), np.float64(78.3), np.float64(66.56), np.float64(56.57), np.float64(48.09), np.float64(40.87), 37.5]
[150, np.float64(120.0), np.float64(96.0), np.float64(76.8), np.float64(61.44), np.float64(49.15), np.float64(39.32), 37.5, 37.5, 37.5]
[150, np.float64(112.5), np.float64(84.38), np.float64(63.28), np.float64(47.46), 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(105.0), np.float64(73.5), np.float64(51.45), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(97.5), np.float64(63.38), np.float64(41.19), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(90.0), np.float64(54.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(142.5), np.float64(135.38), np.float64(128.61), np.float64(122.18), np.float64(116.07), np.float64(110.26), np.float64(104.75), np.float64(99.51), np.float64(94.54)]
[150, np.float64(135.0), np.float64(121.5), np.float64(109.35), np.float64(98.42), np.float64(88.57), np.float64(79.72), np.float64(71.74), np.float64(64.57), np.float64(58.11)]
[150, np.float64(127.5), np.float64(108.38), np.float64(92.12), np.float64(78.3), np.float64(66.56), np.float64(56.57), np.float64(48.09), np.float64(40.87), 37.5]
[150, np.float64(120.0), np.float64(96.0), np.float64(76.8), np.float64(61.44), np.float64(49.15), np.float64(39.32), 37.5, 37.5, 37.5]
[150, np.float64(112.5), np.float64(84.38), np.float64(63.28), np.float64(47.46), 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(105.0), np.float64(73.5), np.float64(51.45), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(97.5), np.float64(63.38), np.float64(41.19), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(90.0), np.float64(54.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(142.5), np.float64(135.38), np.float64(128.61), np.float64(122.18), np.float64(116.07), np.float64(110.26), np.float64(104.75), np.float64(99.51), np.float64(94.54)]
[150, np.float64(135.0), np.float64(121.5), np.float64(109.35), np.float64(98.42), np.float64(88.57), np.float64(79.72), np.float64(71.74), np.float64(64.57), np.float64(58.11)]
[150, np.float64(127.5), np.float64(108.38), np.float64(92.12), np.float64(78.3), np.float64(66.56), np.float64(56.57), np.float64(48.09), np.float64(40.87), 37.5]
[150, np.float64(120.0), np.float64(96.0), np.float64(76.8), np.float64(61.44), np.float64(49.15), np.float64(39.32), 37.5, 37.5, 37.5]
[150, np.float64(112.5), np.float64(84.38), np.float64(63.28), np.float64(47.46), 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(105.0), np.float64(73.5), np.float64(51.45), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(97.5), np.float64(63.38), np.float64(41.19), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(90.0), np.float64(54.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(142.5), np.float64(135.38), np.float64(128.61), np.float64(122.18), np.float64(116.07), np.float64(110.26), np.float64(104.75), np.float64(99.51), np.float64(94.54)]
[150, np.float64(135.0), np.float64(121.5), np.float64(109.35), np.float64(98.42), np.float64(88.57), np.float64(79.72), np.float64(71.74), np.float64(64.57), np.float64(58.11)]
[150, np.float64(127.5), np.float64(108.38), np.float64(92.12), np.float64(78.3), np.float64(66.56), np.float64(56.57), np.float64(48.09), np.float64(40.87), 37.5]
[150, np.float64(120.0), np.float64(96.0), np.float64(76.8), np.float64(61.44), np.float64(49.15), np.float64(39.32), 37.5, 37.5, 37.5]
[150, np.float64(112.5), np.float64(84.38), np.float64(63.28), np.float64(47.46), 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(105.0), np.float64(73.5), np.float64(51.45), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(97.5), np.float64(63.38), np.float64(41.19), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(90.0), np.float64(54.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(142.5), np.float64(135.38), np.float64(128.61), np.float64(122.18), np.float64(116.07), np.float64(110.26), np.float64(104.75), np.float64(99.51), np.float64(94.54)]
[150, np.float64(135.0), np.float64(121.5), np.float64(109.35), np.float64(98.42), np.float64(88.57), np.float64(79.72), np.float64(71.74), np.float64(64.57), np.float64(58.11)]
[150, np.float64(127.5), np.float64(108.38), np.float64(92.12), np.float64(78.3), np.float64(66.56), np.float64(56.57), np.float64(48.09), np.float64(40.87), 37.5]
[150, np.float64(120.0), np.float64(96.0), np.float64(76.8), np.float64(61.44), np.float64(49.15), np.float64(39.32), 37.5, 37.5, 37.5]
[150, np.float64(112.5), np.float64(84.38), np.float64(63.28), np.float64(47.46), 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(105.0), np.float64(73.5), np.float64(51.45), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(97.5), np.float64(63.38), np.float64(41.19), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(90.0), np.float64(54.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0), np.float64(150.0)]
[150, np.float64(142.5), np.float64(135.38), np.float64(128.61), np.float64(122.18), np.float64(116.07), np.float64(110.26), np.float64(104.75), np.float64(99.51), np.float64(94.54)]
[150, np.float64(135.0), np.float64(121.5), np.float64(109.35), np.float64(98.42), np.float64(88.57), np.float64(79.72), np.float64(71.74), np.float64(64.57), np.float64(58.11)]
[150, np.float64(127.5), np.float64(108.38), np.float64(92.12), np.float64(78.3), np.float64(66.56), np.float64(56.57), np.float64(48.09), np.float64(40.87), 37.5]
[150, np.float64(120.0), np.float64(96.0), np.float64(76.8), np.float64(61.44), np.float64(49.15), np.float64(39.32), 37.5, 37.5, 37.5]
[150, np.float64(112.5), np.float64(84.38), np.float64(63.28), np.float64(47.46), 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(105.0), np.float64(73.5), np.float64(51.45), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(97.5), np.float64(63.38), np.float64(41.19), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(90.0), np.float64(54.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(82.5), np.float64(45.38), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(75.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(67.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(60.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(52.5), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, np.float64(45.0), 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
[150, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5]
